000000.000|    9660.0000kb|   9660.0000kb added| ALWAYS| Logging started at 2014-01-16T16:23:05.453
000000.001|    9676.0000kb|     16.0000kb added| ALWAYS| Loading RADS dynamic library: C:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.002|    9784.0000kb|    108.0000kb added|   OKAY| Riot::RADS::Reader::RadsExportsMain::Initialize: RADS library initializing with specified working directory "C:\Riot Games\League of Legends\RADS\solutions\lol_game_client_sln\releases\0.0.1.6\deploy".
000000.002|    9800.0000kb|     16.0000kb added|   OKAY| Riot::RADS::Reader::RuntimeEnvironment::Create: Creating RADS runtime environment: RADS root directory = "C:/Riot Games/League of Legends/RADS"
000000.002|    9812.0000kb|     12.0000kb added|   OKAY| Riot::RADS::Reader::SolutionManifest::Load: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.6/solutionmanifest")
000000.002|    9844.0000kb|     32.0000kb added|   OKAY| Riot::RADS::Reader::ConfigurationManifest::Load: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.6/configurationmanifest")
000000.002|    9848.0000kb|      4.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::Load: ("C:/Riot Games/League of Legends/RADS/projects/lol_game_client_en_gb/releases/0.0.0.167/releasemanifest")
000000.003|    9904.0000kb|     56.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::Load: ("C:/Riot Games/League of Legends/RADS/projects/lol_game_client/releases/0.0.0.195/releasemanifest")
000000.199|   15848.0000kb|   5944.0000kb added| ALWAYS| Loaded RADS dynamic library: C:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.218|   42760.0000kb|  26912.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects/lol_air_client/releases/0.0.1.67/deploy/preferences/
000000.219|   43172.0000kb|    412.0000kb added| ALWAYS| Global logging level set to   WARN
000000.219|   43248.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 4.1.0.171 (Jan 13 2014/13:04:56) [PUBLIC] <Releases/4.1> ChangeList: 458058
000000.261|   45504.0000kb|   2256.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.1.67/deploy/LolClient.exe" "95.172.70.152 5129 j+/S1lfap0g7SYqea5FcwA== <id_removed>"
000000.263|   45804.0000kb|    300.0000kb added| ALWAYS| Started System Init
000000.264|   45980.0000kb|    176.0000kb added| ALWAYS| Maestro Init
000000.272|   46576.0000kb|    596.0000kb added| ALWAYS| Maestro completed init
000000.272|   46588.0000kb|     12.0000kb added|  ERROR| RadsOpenFile: RADS cannot open file "ClientZips.txt" because it's not in the manifest.
000000.272|   46596.0000kb|      8.0000kb added|  ERROR| std_fopen failed: pFile = 0x00000000; pMode = r; errno = 2; pFilename = ClientZips.txt; msg = No such file or directory;
000000.272|   46600.0000kb|      4.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.286|   48004.0000kb|   1404.0000kb added| ALWAYS| StartSession called
000000.286|   48004.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.286|   48132.0000kb|    128.0000kb added| ALWAYS| Waiting until connection...
000001.381|   56612.0000kb|   8480.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Ultimate Edition Service Pack 1 (build 7601), 64-bit
000001.381|   56612.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz, Intel64 Family 6 Model 60 Stepping 3, 3400 (0 core)
000001.381|   56612.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 3501
000001.381|   56612.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 760 2147483648 9.18.13.3182
000001.381|   56612.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.381|   56644.0000kb|     32.0000kb added| ALWAYS| {"messageType":"hardware_information","message_body":"Hardware Info","operating_system":"Microsoft Windows 7 Ultimate Edition Service Pack 1 (build 7601), 64-bit","cpu":"GenuineIntel","cpu_processor":"Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz","cpu_identifier":"Intel64 Family 6 Model 60 Stepping 3","cpu_topology":4,"gpu":"NVIDIA GeForce GTX 760","video_memory":"2147483648","driver_version":"9.18.13.3182","physical_memory":8589934592}
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION START-----
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| Operating System: Microsoft Windows 7 Ultimate Edition Service Pack 1 (build 7601), 64-bit
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| GPU Manufacturer: NVIDIA GeForce GTX 760
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| GPU Memory: 2147483648
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| GPU Driver Version: 9.18.13.3182
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| CPU Brand: GenuineIntel
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| CPU Processor Name: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| CPU Identifier: Intel64 Family 6 Model 60 Stepping 3
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| CPU Speed: 3400
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| CPU Topology: 4 Core
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.381|   56644.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION END-----
000001.483|   57140.0000kb|    496.0000kb added| ALWAYS| InitRenderer() enter
000001.484|   57332.0000kb|    192.0000kb added| ALWAYS| r3dRenderLayer::Init(0x000505a8) enter
000001.490|   60352.0000kb|   3020.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.926|   69956.0000kb|   9604.0000kb added| ALWAYS| Loaded locale en_GB via fontconfig
000001.930|   66676.0000kb|  -3280.0000kb added|  ERROR| RadsOpenFile: RADS cannot open file "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.6/deploy/Data/Menu/IMEConfig.xml" because it's not in the manifest.
000001.930|   66676.0000kb|      0.0000kb added|  ERROR| std_fopen failed: pFile = 0x00000000; pMode = rb; errno = 2; pFilename = C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.6/deploy/Data/Menu/IMEConfig.xml; msg = No such file or directory;
000001.930|   66676.0000kb|      0.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.6/deploy/Data/Menu/IMEConfig.xml
000001.938|   66960.0000kb|    284.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1920, YRes = 1080, BPP = 32,  Flags=256) enter
000001.938|   66960.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000002.332|   89268.0000kb|  22308.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000002.509|   91400.0000kb|   2132.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
